the_geom,from25_popinwalkshed,popn_abov15,percentcovered,from1_popinwalkshed,from10_popinwalkshed,from15_popinwalkshed,cartodb_id,from35_popinwalkshed,from50_popinwalkshed,from65_popinwalkshed,from75_popinwalkshed,none_popinwalkshed,total_pop15_inwalkshed
,0,5640,0,0,0,0,3824,0,0,0,0,0,0
,0,2126,0,0,0,0,3843,0,0,0,0,0,0
,0,3702,0,0,0,0,3844,0,0,0,0,0,0
,0,2130,0,0,0,0,3697,0,0,0,0,0,0
,285.98798,7526,1,760.12604,142.99399,398.87802,4330,835.386,699.918,353.722,3597.4277,451.56055,7526
,494.880117195061,4320,0.979107544308049,587.934498206098,410.285225366845,545.63705229199,484,621.772454937384,317.230844355808,42.2974459141077,477.961138829417,731.745912224818,4229.74459141077
,0,3156,0,0,0,0,1842,0,0,0,0,0,0
,0,4048,0,0,0,0,2945,0,0,0,0,0,0
,0,2058,0,0,0,0,3393,0,0,0,0,0,0
,0,3001,0,0,0,0,3675,0,0,0,0,0,0
,0,916,0,0,0,0,4031,0,0,0,0,0,0
,0,3512,0,0,0,0,4294,0,0,0,0,0,0
,0,18,0,0,0,0,4295,0,0,0,0,0,0
,0,1591,0,0,0,0,2954,0,0,0,0,0,0
,0,5231,0,0,0,0,3486,0,0,0,0,0,0
,0,4650,0,0,0,0,3694,0,0,0,0,0,0
,0,1613,0,0,0,0,3695,0,0,0,0,0,0
,0,4130,0,0,0,0,1677,0,0,0,0,0,0
,0,3684,0,0,0,0,2609,0,0,0,0,0,0
,0,1954,0,0,0,0,3389,0,0,0,0,0,0
,0,3816,0,0,0,0,3616,0,0,0,0,0,0
,0,5870,0,0,0,0,3587,0,0,0,0,0,0
,0,4564,0,0,0,0,454,0,0,0,0,0,0
,0,3327,0,0,0,0,2464,0,0,0,0,0,0
,0,5514,0,0,0,0,2955,0,0,0,0,0,0
,61.1374691880991,812,0.990690160252129,37.8086972944819,42.6353417366106,34.5909376353633,3103,64.3552328099783,90.901770306855,24.1332123037419,389.349158500369,59.528603228202,804.440410124729
,0,1590,0,0,0,0,3527,0,0,0,0,0,0
,125.087203105994,3827,0.424486315977706,191.692090221698,108.842111793528,99.0950527611844,3985,164.075439235367,71.478401774854,95.8460429884174,550.708595492625,217.684266035687,1624.50913124668
,0,2338,0,0,0,0,4110,0,0,0,0,0,0
,398.711474348554,6329,0.999961011793367,443.012727054816,202.520123795707,316.437662182011,4212,417.697714080255,601.231558145821,120.246311629164,3417.52675156572,411.368730845582,6328.75324364022
,0,3184,0,0,0,0,4281,0,0,0,0,0,0
,0,7437,0,0,0,0,4291,0,0,0,0,0,0
,0,3388,0,0,0,0,1251,0,0,0,0,0,0
,0,4223,0,0,0,0,1703,0,0,0,0,0,0
,0,1898,0,0,0,0,1706,0,0,0,0,0,0
,0,2019,0,0,0,0,1707,0,0,0,0,0,0
,0,3135,0,0,0,0,1720,0,0,0,0,0,0
,0,2855,0,0,0,0,2750,0,0,0,0,0,0
,0,3022,0,0,0,0,3023,0,0,0,0,0,0
,251.040552749302,4389,0.642670445340663,414.640045936225,203.089002091212,267.964655537016,3553,318.736906059819,191.806299032925,163.599480333514,583.880945279279,425.922935368941,2820.68058460017
,0,4327,0,0,0,0,3764,0,0,0,0,0,0
,138.71061634611,1541,0.989158006047948,195.109438376946,64.0202844674353,199.682335622065,3777,164.623598522128,179.866523395327,88.4089701995015,231.692458072623,262.178307819021,1524.29248731989
,0,1572,0,0,0,0,4103,0,0,0,0,0,0
,0,4425,0,0,0,0,4189,0,0,0,0,0,0
,0,3697,0,0,0,0,2501,0,0,0,0,0,0
,0,969,0,0,0,0,2289,0,0,0,0,0,0
,0,3598,0,0,0,0,2290,0,0,0,0,0,0
,0,2870,0,0,0,0,3195,0,0,0,0,0,0
,0,3696,0,0,0,0,3401,0,0,0,0,0,0
,0,4828,0,0,0,0,3481,0,0,0,0,0,0
,0,3389,0,0,0,0,3474,0,0,0,0,0,0
,0,1725,0,0,0,0,3475,0,0,0,0,0,0
,0,1059,0,0,0,0,3590,0,0,0,0,0,0
,0,1565,0,0,0,0,3546,0,0,0,0,0,0
,51.5100867021596,1303,0.459673402215153,52.1090319517779,43.1247171441764,64.6870798533252,3708,32.3435399266626,50.9111276623393,20.963405508022,196.457043542119,86.848421827924,598.954443086344
,0,2476,0,0,0,0,3689,0,0,0,0,0,0
,0,1867,0,0,0,0,3723,0,0,0,0,0,0
,78.903,797,1,55.79,27.895,63.76,3942,51.008003,85.27899,36.662,282.935,114.76807,797
