id,latitude,longitude,availabledocks,stationname,statuskey,statusvalue,totaldocks
332,40.71219906,-73.97948148,16,Cherry St,1,In Service,24
72,40.76727216,-73.99392888,27,W 52 St & 11 Ave,1,In Service,39
79,40.71911552,-74.00666661,31,Franklin St & W Broadway,1,In Service,33
82,40.71117416,-74.00016545,0,St James Pl & Pearl St,3,Not In Service,0
83,40.68382604,-73.97632328,49,Atlantic Ave & Fort Greene Pl,1,In Service,62
119,40.69608941,-73.97803415,15,Park Ave & St Edwards St,1,In Service,19
120,40.68676793,-73.95928168,4,Lexington Ave & Classon Ave,1,In Service,19
127,40.73172428,-74.00674436,9,Barrow St & Hudson St,1,In Service,31
128,40.72710258,-74.00297088,16,MacDougal St & Prince St,1,In Service,30
143,40.69239502,-73.99337909,18,Clinton St & Joralemon St,1,In Service,24
144,40.69839895,-73.98068914,17,Nassau St & Navy St,1,In Service,19
146,40.71625008,-74.0091059,33,Hudson St & Reade St,1,In Service,39
150,40.720873600000004,-73.98085795,8,E 2 St & Avenue C,1,In Service,29
151,40.722103786686,-73.997249007225,13,Cleveland Pl & Spring St,1,In Service,33
157,40.69089272,-73.99612349,2,Henry St & Atlantic Ave,1,In Service,23
164,40.75323098,-73.97032517,44,E 47 St & 2 Ave,1,In Service,47
167,40.7489006,-73.97604882,40,E 39 St & 3 Ave,1,In Service,45
168,40.73971301,-73.99456405,40,W 18 St & 6 Ave,1,In Service,47
173,40.7606832709659,-73.98452728986742,47,Broadway & W 49 St,1,In Service,51
174,40.7381765,-73.97738662,13,E 25 St & 1 Ave,1,In Service,30
195,40.70905623,-74.01043382,40,Liberty St & Broadway,1,In Service,45
212,40.74334935,-74.00681753,24,W 16 St & The High Line,1,In Service,28
216,40.70037867,-73.99548059,17,Columbia Heights & Cranberry St,1,In Service,23
217,40.70277159,-73.99383605,27,Old Fulton St,1,In Service,39
223,40.73781509,-73.99994661,29,W 13 St & 7 Ave,1,In Service,33
228,40.7546011026,-73.971878855,51,E 48 St & 3 Ave,1,In Service,54
229,40.72743423,-73.99379025,9,Great Jones St,1,In Service,23
232,40.69597683,-73.99014892,19,Cadman Plaza E & Tillary St,1,In Service,23
236,40.7284186,-73.98713956,14,St Marks Pl & 2 Ave,1,In Service,39
237,40.73047309,-73.98672378,29,E 11 St & 2 Ave,1,In Service,39
238,40.7361967,-74.00859207,10,Bank St & Washington St,1,In Service,31
239,40.69196566,-73.9813018,23,Willoughby St & Fleet St,1,In Service,31
241,40.68981035,-73.97493121,18,DeKalb Ave & S Portland Ave,1,In Service,23
242,40.697787,-73.973736,15,Carlton Ave & Flushing Ave,1,In Service,23
243,40.688226,-73.979382,1,Fulton St & Rockwell Pl,1,In Service,31
244,40.69196035,-73.96536851,14,Willoughby Ave & Hall St,1,In Service,31
245,40.69327018,-73.97703874,23,Myrtle Ave & St Edwards St,1,In Service,23
247,40.73535398,-74.00483091,10,Perry St & Bleecker St,1,In Service,20
248,40.72185379,-74.00771779,19,Laight St & Hudson St,1,In Service,23
249,40.71870987,-74.0090009,27,Harrison St & Hudson St,1,In Service,27
251,40.72317958,-73.99480012,16,Mott St & Prince St,1,In Service,27
252,40.73226398,-73.99852205,9,MacDougal St & Washington Sq,1,In Service,33
253,40.73543934,-73.99453948,53,W 13 St & 5 Ave,1,In Service,55
254,40.73532427,-73.99800419,29,W 11 St & 6 Ave,1,In Service,31
257,40.71939226,-74.00247214,35,Lispenard St & Broadway,1,In Service,39
258,40.68940747,-73.96885458,20,DeKalb Ave & Vanderbilt Ave,1,In Service,23
259,40.70122128,-74.01234218,31,South St & Whitehall St,1,In Service,39
260,40.70365182,-74.01167797,31,Broad St & Bridge St,1,In Service,35
261,40.69474881,-73.98362464,17,Johnson St & Gold St,1,In Service,27
262,40.6917823,-73.97372990000001,20,Washington Park,1,In Service,24
264,40.70706456,-74.00731853,27,Maiden Ln & Pearl St,1,In Service,27
265,40.72229346,-73.99147535,20,Stanton St & Chrystie St,1,In Service,35
266,40.72368361,-73.97574813,18,Avenue D & E 8 St,1,In Service,24
267,40.75097711,-73.98765428,56,Broadway & W 36 St,1,In Service,57
268,40.71910537,-73.99973337,17,Howard St & Centre St,1,In Service,27
270,40.69308257,-73.97178913,21,Adelphi St & Myrtle Ave,1,In Service,23
274,40.68691865,-73.976682,28,Lafayette Ave & Fort Greene Pl,1,In Service,31
275,40.68650065,-73.96563307,13,Washington Ave & Greene Ave,1,In Service,19
276,40.71748752,-74.0104554,15,Duane St & Greenwich St,1,In Service,25
278,40.69766564,-73.98476437,19,Concord St & Bridge St,1,In Service,19
279,40.707873,-74.00166999999999,6,Peck Slip & Front St,1,In Service,36
280,40.73331967,-73.99510132,28,E 10 St & 5 Ave,1,In Service,31
281,40.764397100000004,-73.97371465,11,Grand Army Plaza & Central Park S,1,In Service,57
282,40.7076449441757,-73.9684152603149,5,Kent Ave & S 11 St,1,In Service,27
285,40.73454567,-73.99074142,35,Broadway & E 14 St,1,In Service,51
289,40.684568299999995,-73.95881081,18,Monroe St & Classon Ave,1,In Service,19
