,status,distance,duration,geometry,type
0,Ok,1700.7,462.9,"[[-73.984876, 40.747702], [-73.985046, 40.747773], [-73.985492, 40.747168], [-73.976711, 40.743467], [-73.979423, 40.739743], [-73.977238, 40.738833], [-73.976805, 40.739445]]",LineString
1,Ok,1679.4,467.2,"[[-73.989781, 40.69992], [-73.989734, 40.700743], [-73.986772, 40.700638], [-73.986408, 40.700005], [-73.984435, 40.699823], [-73.983071, 40.699797], [-73.982948, 40.699731], [-73.980596, 40.699669], [-73.980464, 40.699709], [-73.980562, 40.698253], [-73.973802, 40.697976], [-73.973764, 40.697784]]",LineString
2,Ok,4629,1271.2,"[[-73.95349, 40.766629], [-73.953814, 40.766769], [-73.954245, 40.766181], [-73.958865, 40.768115], [-73.969902, 40.752983], [-73.98463, 40.75921], [-73.987447, 40.755373], [-73.989994, 40.756448]]",LineString
3,Ok,2165.4,573.3,"[[-74.002194, 40.750169], [-74.00232, 40.75022], [-74.001882, 40.750828], [-73.998838, 40.749561], [-73.997629, 40.749448], [-73.997073, 40.749189], [-73.996587, 40.748647], [-73.996204, 40.748428], [-73.990518, 40.746038], [-73.988708, 40.748504], [-73.981969, 40.745683]]",LineString
4,Ok,1817.2,475.2,"[[-73.994776, 40.680575], [-73.994654, 40.680541], [-73.994343, 40.681006], [-73.996208, 40.681724], [-73.998208, 40.682292], [-73.996379, 40.686101], [-74.001502, 40.687782], [-73.999746, 40.691361], [-73.999961, 40.691687]]",LineString
5,Ok,10569.8,2773.6,"[[-73.970382, 40.797412], [-73.965544, 40.795437], [-74.004821, 40.741642], [-74.005511, 40.738139], [-74.008154, 40.738147], [-74.00935, 40.728981], [-74.010942, 40.729153], [-74.013142, 40.71741], [-74.012623, 40.717074], [-74.013199, 40.717574]]",LineString
6,Ok,1553.6,435.9,"[[-73.999711, 40.719133], [-73.999841, 40.719193], [-74.002558, 40.716181], [-74.007052, 40.718269], [-74.010567, 40.713854], [-74.00938, 40.71331]]",LineString
7,Ok,2918.7,781.5,"[[-73.971212, 40.744219], [-73.972313, 40.742477], [-73.972392, 40.742006], [-73.972065, 40.741917], [-73.97281, 40.738961], [-73.974476, 40.736739], [-73.974669, 40.735735], [-73.973612, 40.731423], [-73.981081, 40.721023], [-73.980867, 40.720861]]",LineString
8,Ok,2844.8,786,"[[-73.970363, 40.753179], [-73.972113, 40.753922], [-73.971649, 40.754561], [-73.967299, 40.752725], [-73.967064, 40.752795], [-73.956935, 40.766522], [-73.954703, 40.765554], [-73.953814, 40.766769], [-73.95349, 40.766629]]",LineString
9,Ok,4585.9,1190.1,"[[-73.995328, 40.744836], [-74.001095, 40.736564], [-74.002811, 40.733609], [-74.008606, 40.732672], [-74.00935, 40.728981], [-74.010942, 40.729153], [-74.012245, 40.721127], [-74.014815, 40.711193], [-74.015739, 40.711539]]",LineString
