the_geom,lon,id,region_id,name,lat,cartodb_id,capacity,ntacode,ntaname,centroid_lon,centroid_lat
0101000020E61000009D47C5FF1D7B52C045813E9127634440,-73.923706,3513,71,21 St & Hoyt Ave S,40.774645,650,21,QN72,Steinway,-73.905408160816,40.7774264386568
0101000020E6100000F8FBC56CC97A52C0526342CC25634440,-73.918544,3515,71,24 Ave & 26 St,40.774591,652,19,QN72,Steinway,-73.905408160816,40.7774264386568
0101000020E6100000294CCE3FB07A52C0031C8C22B5624440,-73.9170074,3517,71,31 St & Hoyt Ave N,40.7711528,654,35,QN72,Steinway,-73.905408160816,40.7774264386568
0101000020E61000009978ACBE5F7A52C0794B283394624440,-73.9120938,3522,71,37 St & 24 Ave,40.7701477,659,19,QN72,Steinway,-73.905408160816,40.7774264386568
0101000020E61000007D1F0E12A27A52C0098A1F63EE624440,-73.916142,3523,71,24 Ave & 29 St,40.7729,660,25,QN72,Steinway,-73.905408160816,40.7774264386568
0101000020E61000007D6F78E60A7B52C0750DE9A683634440,-73.9225403,3524,71,19 St & 24 Ave,40.7774552,661,23,QN72,Steinway,-73.905408160816,40.7774264386568
0101000020E610000037FDD98F947A52C061A6ED5F59634440,-73.9153175,3525,71,23 Ave & 27 St,40.776165,662,21,QN72,Steinway,-73.905408160816,40.7774264386568
0101000020E61000001393814D677A52C07E2B233F2C634440,-73.9125551,3526,71,31 St & 23 Ave,40.7747878,663,27,QN72,Steinway,-73.905408160816,40.7774264386568
0101000020E6100000D0C99C78187A52C093EB5C07BD624440,-73.9077436,3528,71,Steinway St & 23 Ave,40.7713937,665,21,QN72,Steinway,-73.905408160816,40.7774264386568
0101000020E610000049658A39887A52C024253D0CAD634440,-73.9145645,3530,71,Crescent St & Ditmars Blvd,40.7787185,667,19,QN72,Steinway,-73.905408160816,40.7774264386568
0101000020E61000002C044199697E52C09BD5F14EF4564440,-73.97519523,3415,71,Prospect Pl & 6 Ave,40.6793307,588,25,BK64,Prospect Heights,-73.9675875911094,40.6776447870797
0101000020E61000005266DE05257E52C02676C8282A574440,-73.9710097,3537,71,Carlton Ave & Dean St,40.6809741,674,29,BK64,Prospect Heights,-73.9675875911094,40.6776447870797
0101000020E6100000C9E7154FBD7D52C070BB2B161A574440,-73.9646795,3544,71,Underhill Ave & Pacific St,40.6804836,681,27,BK64,Prospect Heights,-73.9675875911094,40.6776447870797
0101000020E6100000295AB917987D52C0B01BB62DCA564440,-73.962408,3549,71,Grand Ave & Bergen St,40.678045,685,25,BK64,Prospect Heights,-73.9675875911094,40.6776447870797
0101000020E61000001E86FB6DF47D52C016D1C0D9F7564440,-73.9680438,3558,71,Bergen St & Vanderbilt Ave,40.6794388,693,27,BK64,Prospect Heights,-73.9675875911094,40.6776447870797
0101000020E61000007233DC80CF7D52C045B2ECEEA6564440,-73.96579,3574,71,Prospect Pl & Underhill Ave,40.6769694,709,23,BK64,Prospect Heights,-73.9675875911094,40.6776447870797
0101000020E610000081423D7D047E52C0029A081B9E564440,-73.969024,3576,71,Park Pl & Vanderbilt Ave,40.6767,711,27,BK64,Prospect Heights,-73.9675875911094,40.6776447870797
0101000020E6100000E151746EA47D52C08E452E933C564440,-73.9631611,3580,71,St Johns Pl & Washington Ave,40.6737236,715,30,BK64,Prospect Heights,-73.9675875911094,40.6776447870797
0101000020E6100000E4FD13B7E57D52C006CDF80846564440,-73.9671457,3581,71,Underhill Ave & Lincoln Pl,40.6740123,716,27,BK64,Prospect Heights,-73.9675875911094,40.6776447870797
0101000020E610000000008032537E52C00259DA56AD564440,-73.973827958107,3663,71,Sterling Pl & 7 Ave,40.6771648946906,780,25,BK64,Prospect Heights,-73.9675875911094,40.6776447870797
0101000020E6100000FC8547B06B7C52C0CD1A8204415A4440,-73.94407279,3070,71,McKibbin St & Manhattan Ave,40.70510918,313,23,BK90,East Williamsburg,-73.9367971861491,40.7153708615758
0101000020E6100000787BEFF3C87C52C04B30C5EA495A4440,-73.94976519,3071,71,Boerum St & Broadway,40.70538077,314,19,BK90,East Williamsburg,-73.9367971861491,40.7153708615758
0101000020E610000062225291927C52C0C73C9FBF585A4440,-73.94644578,3072,71,Leonard St & Boerum St,40.70583339,315,24,BK90,East Williamsburg,-73.9367971861491,40.7153708615758
0101000020E6100000E02D90A0787C52C0D2135CCDB65A4440,-73.9448625,3076,71,Scholes St & Manhattan Ave,40.70870368,318,24,BK90,East Williamsburg,-73.9367971861491,40.7153708615758
0101000020E6100000E7A8A3E36A7C52C0C11DA8531E5B4440,-73.944024,3081,71,Graham Ave & Grand St,40.711863,322,23,BK90,East Williamsburg,-73.9367971861491,40.7153708615758
0101000020E610000033124658397C52C0B78EFD6E325B4440,-73.94100005,3083,71,Bushwick Ave & Powers St,40.71247661,324,30,BK90,East Williamsburg,-73.9367971861491,40.7153708615758
0101000020E6100000F5F57CCD727C52C04E7B4ACE895B4440,-73.944507,3086,71,Graham Ave & Conselyea St,40.715143,326,25,BK90,East Williamsburg,-73.9367971861491,40.7153708615758
0101000020E6100000C54FA933F37C52C06B38B8B6685B4440,-73.95234386,3087,71,Metropolitan Ave & Meeker Ave,40.71413311,327,30,BK90,East Williamsburg,-73.9367971861491,40.7153708615758
0101000020E6100000395BA392787C52C0D02C6409C65B4440,-73.94485918,3094,71,Graham Ave & Withers St,40.7169811,332,18,BK90,East Williamsburg,-73.9367971861491,40.7153708615758
0101000020E610000059292DF17A7C52C0801819CB115C4440,-73.94500379,3095,71,Graham Ave & Herbert St,40.71929301,333,23,BK90,East Williamsburg,-73.9367971861491,40.7153708615758
0101000020E61000000000009C4D7C52C0E9B31CC70A5C4440,-73.9422369003296,3430,71,Richardson St & N Henry St,40.7190789117956,600,19,BK90,East Williamsburg,-73.9367971861491,40.7153708615758
0101000020E6100000FFFFFF1BBE7C52C06A667E204F5B4440,-73.9491033554077,3453,71,Devoe St & Lorimer St,40.7133522622288,608,19,BK90,East Williamsburg,-73.9367971861491,40.7153708615758
0101000020E61000000000809F9C7C52C052C13C5BED5A4440,-73.9470595121384,3454,71,Leonard St & Maujer St,40.7103685423523,609,24,BK90,East Williamsburg,-73.9367971861491,40.7153708615758
0101000020E610000000000085AF7C52C09961AE59B25B4440,-73.9482128620148,3456,71,Jackson St & Leonard St,40.7163803197356,610,22,BK90,East Williamsburg,-73.9367971861491,40.7153708615758
0101000020E6100000DD05CE42107D52C098DCE695045F4440,-73.95411749,3119,71,Vernon Blvd & 50 Ave,40.74232744,350,45,QN31,Hunters Point-Sunnyside-West Maspeth,-73.931190766357,40.7397667155428
0101000020E61000004C7155D9777D52C07B319413ED5E4440,-73.96044,3120,71,Center Blvd & Borden Ave,40.74161,351,20,QN31,Hunters Point-Sunnyside-West Maspeth,-73.931190766357,40.7397667155428
0101000020E610000048A89519A17C52C08B82A646645F4440,-73.94733276,3121,71,Jackson Ave & 46 Rd,40.74524768,352,27,QN31,Hunters Point-Sunnyside-West Maspeth,-73.931190766357,40.7397667155428
0101000020E6100000000000072D7D52C0CC25D34B475F4440,-73.9558732509613,3122,71,48 Ave & 5 St,40.7443632870669,353,31,QN31,Hunters Point-Sunnyside-West Maspeth,-73.931190766357,40.7397667155428
0101000020E610000092B3B0A7DD7B52C02942663E525F4440,-73.93540375,3123,71,31 St & Thomson Ave,40.74469738,354,27,QN31,Hunters Point-Sunnyside-West Maspeth,-73.931190766357,40.7397667155428
0101000020E61000001E6D1CB1167D52C0A4FCA4DAA75F4440,-73.95451,3124,71,46 Ave & 5 St,40.74731,355,27,QN31,Hunters Point-Sunnyside-West Maspeth,-73.931190766357,40.7397667155428
0101000020E610000081BCEC11C97C52C084006C82A05F4440,-73.94977234,3125,71,45 Rd & 11 St,40.74708586,356,23,QN31,Hunters Point-Sunnyside-West Maspeth,-73.931190766357,40.7397667155428
0101000020E6100000AC00DF6D5E7C52C07139C1ABA35F4440,-73.9432635,3126,71,44 Dr & Jackson Ave,40.74718234,357,34,QN31,Hunters Point-Sunnyside-West Maspeth,-73.931190766357,40.7397667155428
0101000020E610000062A1D634EF7C52C0478FDFDBF45F4440,-73.9521,3127,71,9 St & 44 Rd,40.74966,358,35,QN31,Hunters Point-Sunnyside-West Maspeth,-73.931190766357,40.7397667155428
0101000020E6100000EC1C5E6B8A7C52C0450FDF3611604440,-73.94594845,3128,71,21 St & 43 Ave,40.75052534,359,23,QN31,Hunters Point-Sunnyside-West Maspeth,-73.931190766357,40.7397667155428
0101000020E6100000E0F3C308E17B52C0C976BE9F1A5F4440,-73.93561,3221,71,47 Ave & 31 St,40.743,433,27,QN31,Hunters Point-Sunnyside-West Maspeth,-73.931190766357,40.7397667155428
0101000020E6100000A12FBDFDB97C52C01E5036E50A5F4440,-73.948852,3606,71,49 Ave & 21 St,40.74252,739,21,QN31,Hunters Point-Sunnyside-West Maspeth,-73.931190766357,40.7397667155428
