source,target,weight
BK09,BK09,10857
BK09,BK32,130
BK09,BK33,20749
BK09,BK35,235
BK09,BK37,5490
BK09,BK38,23090
BK09,BK60,143
BK09,BK61,568
BK09,BK63,76
BK09,BK64,1131
BK09,BK68,4168
BK09,BK69,1474
BK09,BK72,63
BK09,BK73,1281
BK09,BK75,754
BK09,BK76,172
BK09,BK78,52
BK09,BK90,182
BK09,MN03,2
BK09,MN09,4
BK09,MN11,5
BK09,MN12,24
BK09,MN13,859
BK09,MN14,40
BK09,MN15,167
BK09,MN17,468
BK09,MN19,217
BK09,MN20,398
BK09,MN21,141
BK09,MN22,559
BK09,MN23,831
BK09,MN24,3784
BK09,MN25,1802
BK09,MN27,1265
BK09,MN28,227
BK09,MN31,92
BK09,MN32,16
BK09,MN33,2
BK09,MN34,2
BK09,MN40,17
BK09,MN50,69
BK09,QN31,40
BK09,QN68,14
BK09,QN70,6
BK09,QN71,3
BK09,QN72,3
BK32,BK32,322
BK32,BK33,883
BK32,BK35,46
BK32,BK37,2158
BK32,BK38,474
BK32,BK60,69
BK32,BK61,149
BK32,BK63,26
BK32,BK64,173
BK32,BK68,295
BK32,BK69,245
BK32,BK72,7
BK32,BK73,75
BK32,BK75,95
BK32,BK76,45
BK32,BK78,7
BK32,BK90,17
BK32,MN06,1
BK32,MN09,1
BK32,MN11,4
BK32,MN12,2
BK32,MN13,15
BK32,MN14,2
BK32,MN15,2
BK32,MN17,3
BK32,MN19,1
BK32,MN20,5
BK32,MN21,8
BK32,MN22,17
BK32,MN23,18
BK32,MN24,58
BK32,MN25,44
BK32,MN27,59
BK32,MN28,15
BK32,MN31,1
BK32,MN32,3
BK32,MN50,3
BK32,QN31,2
BK32,QN70,1
BK33,BK33,28494
BK33,BK35,343
BK33,BK37,17372
BK33,BK38,29734
BK33,BK60,301
BK33,BK61,1038
BK33,BK63,173
BK33,BK64,1739
BK33,BK68,3591
BK33,BK69,1145
BK33,BK72,39
BK33,BK73,1006
BK33,BK75,546
BK33,BK76,184
BK33,BK78,55
BK33,BK90,183
BK33,MN09,1
BK33,MN12,13
BK33,MN13,710
BK33,MN14,16
BK33,MN15,69
BK33,MN17,228
BK33,MN19,178
BK33,MN20,299
BK33,MN21,94
BK33,MN22,602
BK33,MN23,839
BK33,MN24,2143
BK33,MN25,1234
BK33,MN27,877
BK33,MN28,228
BK33,MN31,25
BK33,MN32,5
BK33,MN33,1
BK33,MN34,1
BK33,MN40,21
BK33,MN50,54
BK33,QN31,32
BK33,QN68,8
BK33,QN70,4
BK33,QN71,1
BK33,QN72,1
BK35,BK35,2322
BK35,BK37,955
BK35,BK38,1563
BK35,BK60,220
BK35,BK61,1996
BK35,BK63,80
BK35,BK64,735
BK35,BK68,1937
BK35,BK69,1987
BK35,BK72,285
BK35,BK73,2374
BK35,BK75,6401
BK35,BK76,577
BK35,BK78,551
BK35,BK90,1234
BK35,MN09,4
BK35,MN11,2
BK35,MN12,4
BK35,MN13,193
BK35,MN14,6
BK35,MN15,11
BK35,MN17,67
BK35,MN19,54
BK35,MN20,80
BK35,MN21,59
BK35,MN22,192
BK35,MN23,288
BK35,MN24,313
BK35,MN25,135
BK35,MN27,420
BK35,MN28,166
BK35,MN31,2
BK35,MN32,5
BK35,MN33,2
BK35,MN40,3
BK35,MN50,23
BK35,QN31,86
